city,lat,lng,country,iso3,local_name,population,continent
Motomiya,37.5133,140.3939,Japan,JPN,Fukushima,30253.0,Asia
Ypacaraí,-25.41,-57.28,Paraguay,PRY,Central,30150.0,South America
Mehdya,34.2557,-6.6745,Morocco,MAR,Rabat-Salé-Kénitra,28636.0,Africa
Chimākurti,15.5819,79.868,India,IND,Andhra Pradesh,30279.0,Asia
Riesa,51.3081,13.2939,Germany,DEU,Saxony,30054.0,Europe
Mount Gambier,-37.8294,140.7828,Australia,AUS,South Australia,29639.0,Oceania
Kirov,54.0833,34.3,Russia,RUS,Kaluzhskaya Oblast’,30520.0,Europe
Blagodarnyy,45.1029,43.4252,Russia,RUS,Stavropol’skiy Kray,30530.0,Europe
Leusden,52.1331,5.4297,Netherlands,NLD,Utrecht,30030.0,Europe
Rio Preto da Eva,-2.6989,-59.7,Brazil,BRA,Amazonas,30530.0,South America
Joaçaba,-27.1778,-51.505,Brazil,BRA,Santa Catarina,30404.0,South America
G’ijduvon Shahri,40.1,64.6667,Uzbekistan,UZB,Buxoro,30486.0,Asia
Canton,34.2467,-84.49,United States,USA,Georgia,30528.0,North America
Andernach,50.4397,7.4017,Germany,DEU,Rhineland-Palatinate,29966.0,Europe
Villa Donato Guerra,19.3083,-100.1422,Mexico,MEX,México,29621.0,North America
Ob,54.9917,82.7125,Russia,RUS,Novosibirskaya Oblast’,29194.0,Europe
Bela Vista de Goiás,-16.9728,-48.9528,Brazil,BRA,Goiás,30492.0,South America
Feteşti,44.415,27.8236,Romania,ROU,Ialomiţa,30217.0,Europe
Sevenoaks,51.2781,0.1874,United Kingdom,GBR,Kent,29506.0,Europe
Mataas Na Kahoy,13.9667,121.0833,Philippines,PHL,Batangas,29187.0,Asia
Auburn,42.9338,-76.5684,United States,USA,New York,30507.0,North America
Osterholz-Scharmbeck,53.2269,8.7947,Germany,DEU,Lower Saxony,30300.0,Europe
Sibagat,8.8219,125.6938,Philippines,PHL,Agusan del Sur,30442.0,Asia
Tskhinvali,42.2257,43.9701,Georgia,GEO,Shida Kartli,30432.0,Asia
Sibutu,4.85,119.4667,Philippines,PHL,Tawi-Tawi,30387.0,Asia
Crown Point,41.4141,-87.3457,United States,USA,Indiana,30488.0,North America
Talusan,7.4263,122.8084,Philippines,PHL,Zamboanga Sibugay,29969.0,Asia
Xinpo,19.7738,110.3658,China,CHN,Hainan,30318.0,Asia
Slavgorod,53.0,78.65,Russia,RUS,Altayskiy Kray,29916.0,Europe
Windsor,40.4693,-104.9213,United States,USA,Colorado,30477.0,North America
Kórinthos,37.9333,22.9333,Greece,GRC,Peloponnísos,30176.0,Europe
Itaporanga d’Ajuda,-10.9978,-37.3108,Brazil,BRA,Sergipe,30419.0,South America
Lakeside,30.1356,-81.7674,United States,USA,Florida,30458.0,North America
Taunusstein,50.1435,8.1606,Germany,DEU,Hesse,30005.0,Europe
Deptford,39.8157,-75.1181,United States,USA,New Jersey,30448.0,North America
Sigma,11.4214,122.6662,Philippines,PHL,Capiz,30134.0,Asia
North Huntingdon,40.3293,-79.7335,United States,USA,Pennsylvania,30430.0,North America
Gloucester,42.626,-70.6897,United States,USA,Massachusetts,30430.0,North America
Ust’-Dzheguta,44.0928,41.9822,Russia,RUS,Karachayevo-Cherkesiya,30369.0,Europe
Damulog,7.4833,124.9333,Philippines,PHL,Bukidnon,30302.0,Asia
Lalla Mimouna,34.85,-6.0669,Morocco,MAR,Rabat-Salé-Kénitra,29479.0,Africa
Horki,54.2833,30.9833,Belarus,BLR,Mahilyowskaya Voblasts’,30390.0,Europe
Salou,41.0796,1.1316,Spain,ESP,Catalonia,28526.0,Europe
Hirakawachō,40.5842,140.5664,Japan,JPN,Aomori,30326.0,Asia
Togitsu,32.8333,129.85,Japan,JPN,Nagasaki,29025.0,Asia
